acctno,actdt,deactdt,deactreason,goodcredit,rateplan,dealertype
1180970809773,2000-12-23,,,1,2,A1
1180985521366,1999-07-28,1999-08-27,NEED,1,1,A1
1181050841148,1999-04-30,,,1,1,A1
1181054896597,1999-12-21,,,0,3,B1
1181055132746,1999-12-04,,,0,1,B1
1181085870408,1999-12-22,,,1,1,B1
1181120792946,2000-02-18,2000-08-28,COMP,0,2,A1
1181125569207,2000-08-25,2000-12-06,MOVE,1,2,A1
1181133628930,1999-12-03,2000-03-20,NEED,1,1,A1
1181143880648,1999-09-08,2000-03-31,TECH,0,1,B1
1181147581458,2000-07-12,,,1,1,A1
1181149275288,2000-07-21,,,1,1,C1
1181195388438,2001-01-04,,,0,1,C1
1181196026058,2000-12-26,,,1,2,A2
1181203222692,2000-12-20,,,0,1,A1
1181213116917,2000-05-13,,,1,3,A1
1181282969660,1999-12-31,2000-02-28,NEED,1,1,A1
1181295198528,2000-01-31,,,1,1,A1
1181306679442,1999-12-16,,,1,1,A1
1181311603930,2000-02-19,,,1,1,B1
1181341853843,2000-02-29,,,1,1,A2
1181346091305,2000-08-31,2000-11-27,COMP,0,1,C1
1181366813287,1999-11-15,,,1,1,A1
1181400314988,2000-12-21,,,1,2,B1
1181404121208,2000-03-22,,,0,1,C1
1181456924522,1999-04-29,,,1,1,A2
1181469097148,1999-11-16,,,1,1,B1
1181472987960,1999-10-19,,,1,3,C1
1181482931870,1999-10-25,,,0,1,B1
1181504405400,2000-07-05,,,1,1,B1
1181504446384,2000-06-15,,,0,1,A1
1181512677698,2000-02-25,,,1,3,B1
1181528524284,2000-11-10,,,0,1,A1
1181549074036,2000-08-05,,,0,1,A1
1181551759492,2000-08-30,,,1,3,A1
1181561710986,1999-02-11,2000-05-31,TECH,1,1,A1
1181595648966,1999-04-07,2001-01-11,MOVE,0,1,B1
1181603487712,1999-04-10,,,1,3,A1
1181646676108,2000-05-20,2001-01-09,COMP,0,1,A1
1181647373433,2000-02-23,2000-05-29,DEBT,0,2,A1
1181662605168,2000-04-08,,,1,1,B1
1181687847216,1999-10-27,,,1,1,A1
1181693973340,1999-08-23,,,1,1,A1
1181741024922,2000-08-07,,,1,1,A2
1181782433406,2000-01-09,,,1,1,A1
1181801806258,1999-04-16,,,1,3,A1
1181804420418,1999-12-12,,,1,1,A1
1181817650464,1999-12-10,,,1,1,B1
1181821982112,1999-12-18,,,0,1,A1
1181832301328,2000-06-19,2000-11-16,NEED,1,1,B1
1181834743484,1999-06-04,,,1,3,A1
1181840726112,2000-08-10,,,1,1,A1
1181845891733,2000-03-24,,,1,1,A1
1181871172943,2000-07-04,,,1,1,A2
1181873051952,1999-12-30,,,1,1,A1
1181882569886,2000-09-26,,,0,1,A1
1181886741360,2000-11-20,,,1,1,C1
1181891342936,2000-09-29,,,1,1,B1
1181898971376,2000-08-10,,,0,3,C1
1181912118848,2000-12-16,,,1,3,A1
1181921289464,2000-01-05,,,1,2,A1
1181921820594,1999-07-17,,,0,2,A1
1181926648608,2000-11-30,2001-01-09,NEED,1,1,A1
1181931646126,2000-05-01,,,1,1,A1
1181935383936,2000-08-10,,,1,1,A1
1181961813582,2000-12-19,,,1,2,A1
1181997400580,2000-03-17,,,1,1,B1
1182018117884,2000-12-12,,,0,1,C1
1182046497887,1999-06-18,,,0,2,A1
1182061056708,2000-10-17,,,1,1,B1
1182082299104,1999-11-28,,,1,1,A1
1182093318348,2000-11-26,,,1,2,A1
1182112047858,2000-04-05,,,1,3,A1
1182122720998,2000-06-24,,,1,1,C1
1182128848203,2001-01-14,,,1,2,A1
1182159546352,1999-09-25,2000-11-13,NEED,1,1,A1
1182159740958,2000-08-03,,,1,1,C1
1182175069496,2000-07-30,,,1,1,A1
1182205410528,2000-03-27,,,1,1,A2
1182215465808,2000-07-19,,,1,1,B1
1182262330278,2000-02-15,2000-10-05,COMP,1,3,B1
1182304046791,2000-05-23,,,1,3,A1
1182315231338,1999-12-24,,,0,1,A1
1182316890283,1999-03-06,,,0,2,A1
1182342963791,1999-02-06,,,0,1,A2
1182355059718,1999-12-04,,,1,1,A1
1182380893562,1999-12-28,2000-02-07,COMP,1,1,B1
1182387536208,1999-08-31,,,0,1,A1
1182397052013,2000-01-04,,,1,1,A1
1182403543524,2000-07-05,,,0,2,B1
1182404184504,1999-08-16,,,1,2,A2
1182432436945,2000-01-24,,,1,1,A1
1182452951008,1999-02-25,,,1,1,C1
1182465145326,1999-05-07,,,1,1,C1
1182466831920,2000-01-07,2000-12-19,DEBT,0,1,C1
1182497493888,2000-01-31,,,1,1,C1
1182518638890,1999-12-11,1999-12-20,NEED,0,1,A2
1182520300748,1999-06-25,2000-03-15,TECH,0,1,A1
1182530246138,1999-08-09,1999-12-08,DEBT,1,1,A1
1182541529100,2000-02-06,,,1,1,A1
1182562135278,2000-01-12,,,1,3,B1
1182564031364,1999-11-13,,,1,1,A1
1182567300239,1999-12-15,,,1,1,A1
1182574234626,2000-11-08,,,0,3,A1
1182576195725,2000-05-13,,,1,1,A2
1182593873400,1999-09-21,,,0,1,A1
1182634428918,2000-01-09,,,0,1,A1
1182701009958,2000-04-06,,,1,2,C1
1182702517268,2000-01-08,,,1,1,A1
1182712187392,2000-03-27,2000-07-11,MOVE,0,1,B1
1182730316574,2000-05-08,,,1,1,A1
1182738792399,2000-11-17,,,1,3,B1
1182742371432,1999-12-06,2000-10-06,COMP,1,1,A1
1182765836572,2000-03-14,2001-01-17,NEED,1,2,A1
1182766489520,1999-11-24,2000-07-10,NEED,1,3,B1
1182781087062,1999-08-25,,,1,1,A1
1182800233533,1999-09-04,,,1,1,A1
1182813169824,2000-11-14,,,1,3,A2
1182848721882,2000-05-03,,,1,1,B1
1182850085316,2000-09-21,2000-11-27,COMP,0,1,C1
1182857049221,2000-06-10,2000-06-16,NEED,0,1,A1
1182902471081,1999-08-03,1999-12-17,NEED,1,3,A1
1182908454703,2000-05-05,,,1,1,A1
1182953464872,2000-10-30,,,0,1,C1
1182957230926,2000-10-10,,,0,1,C1
1182978601808,2000-06-09,,,1,1,B1
1182981738301,1999-12-01,,,0,1,A2
1182984828628,2000-04-10,,,0,3,A1
1182986267792,2000-03-27,,,1,3,A1
1183000474845,2000-11-29,,,1,1,B1
1183006960464,1999-12-08,,,1,2,B1
1183031249707,2001-01-02,,,1,1,A1
1183055309844,1999-12-11,,,1,1,B1
1183058343100,2001-01-02,,,1,2,A1
1183067878776,1999-09-21,,,1,1,A1
1183100736796,2000-09-13,,,1,1,A1
1183129356101,1999-12-21,2000-06-12,DEBT,0,1,C1
1183145789748,1999-08-09,1999-09-03,NEED,1,2,A1
1183145939072,2000-08-26,,,1,1,B1
1183158583862,2000-05-04,,,0,1,C1
1183178652666,2000-12-07,,,1,2,A2
1183183359808,2000-12-16,,,1,1,A1
1183184693988,2000-10-27,,,1,1,C1
1183202648052,2000-06-17,,,0,1,A1
1183241227084,2000-11-25,,,1,1,A1
1183277508885,2000-01-28,2000-06-28,DEBT,0,1,B1
1183295980288,2000-04-20,,,1,1,A1
1183318070288,1999-03-17,,,1,1,B1
1183381084806,2000-12-18,2001-01-09,NEED,1,1,A1
1183385459166,2000-01-25,,,0,1,B1
1183387027974,2000-08-01,,,1,1,A1
1183390179036,1999-09-30,,,1,1,B1
1183406120832,1999-03-01,,,1,1,A1
1183440950880,1999-08-28,2000-02-28,TECH,1,1,A1
1183453922760,1999-11-16,2000-02-01,NEED,1,1,B1
1183478607653,2001-01-14,,,1,3,A1
1183478924847,2000-09-18,,,0,1,C1
1183484834144,2000-01-30,2000-06-24,COMP,1,2,A2
1183520196812,2000-06-27,,,1,3,A1
1183532921220,2000-10-09,,,1,1,A2
1183553612438,2001-01-03,,,1,3,C1
1183564593989,1999-07-22,,,1,1,A1
1183575238298,2000-12-21,,,1,2,B1
1183576725096,2000-07-21,,,1,1,A1
1183585976247,1999-12-31,,,1,2,A1
1183594115600,1999-09-25,,,1,1,A2
1183598655945,2000-08-01,,,0,1,C1
1183609523482,2000-01-17,,,1,1,B1
1183625297958,2000-03-29,,,1,1,B1
1183644140808,1999-12-22,,,1,1,A2
1183659665592,1999-08-30,,,0,1,A1
1183690111922,2000-04-07,,,1,1,C1
1183728189606,2000-06-08,,,1,1,C1
1183751931918,1999-08-29,,,1,1,A2
1183775799228,2000-12-21,,,1,3,A1
1183781583483,1999-12-29,,,1,3,C1
1183791108783,1999-12-17,,,1,1,B1
1183798892708,1999-08-18,,,1,1,C1
1183817094563,2000-11-01,,,1,1,C1
1183828530565,2000-06-12,,,0,1,B1
1183846095360,1999-08-08,,,1,1,A2
1183862552158,2000-06-21,,,0,3,A1
1183896733293,2000-01-10,,,1,1,B1
1183910499880,2000-02-04,2000-10-17,DEBT,1,1,B1
1183912939888,2000-03-23,,,0,1,A1
1183926609883,1999-06-30,,,1,1,A1
1183940822848,2000-10-02,,,0,3,B1
1183953694720,1999-07-31,1999-08-22,TECH,1,1,A1
1183990737520,1999-11-03,,,1,2,A1
1184013851721,2000-05-03,2000-12-19,DEBT,0,2,A1
1184019669360,1999-05-28,,,1,1,B1
1184025531776,2000-09-08,,,0,3,A1
1184046515508,2000-09-08,,,0,1,A1
1184048912778,2000-02-13,,,0,1,B1
1184082914778,2000-10-12,,,0,1,B1
1184107014648,1999-06-20,,,1,2,A1
1184133584872,2000-01-23,,,1,1,A2
1184135897168,1999-11-28,,,1,1,A2
1184146224855,1999-04-03,,,1,1,A1
1184160372296,2001-01-06,,,1,2,A1
1184166355777,2000-09-16,2001-01-02,COMP,0,2,A1
1184175841561,1999-08-21,,,0,1,A1
1184208944600,1999-12-10,,,1,2,A1
1184220718808,2000-12-31,,,1,2,A1
1184261274624,2000-04-12,,,0,2,A1
1184263635198,2001-01-20,,,1,3,A1
1184288341513,1999-12-21,,,1,1,B1
1184302568684,2000-01-30,,,0,2,A2
1184304479760,2000-12-08,,,1,1,B1
1184311920312,2000-01-28,2001-01-08,DEBT,1,2,A1
1184314090770,1999-09-27,,,1,3,A1
1184314155304,1999-12-15,,,1,1,C1
1184326966764,2000-09-09,,,1,1,B1
1184328591169,1999-08-03,,,1,1,A1
1184354809872,2000-01-07,,,1,1,A1
1184358534168,1999-02-20,,,0,3,A1
1184380683408,1999-07-25,,,0,1,A1
1184395715372,2000-02-02,2000-02-20,NEED,1,3,A1
1184429344065,2000-02-09,2000-11-08,DEBT,0,3,A1
1184430987216,2000-11-28,,,1,2,A1
1184445107895,1999-02-28,,,1,2,A1
1184456929260,2000-03-07,2000-06-14,COMP,0,1,B1
1184463975883,2000-08-03,,,1,3,B1
1184477954892,1999-08-18,,,0,1,A1
1184503330028,2000-07-30,2000-10-07,COMP,1,1,B1
1184504121664,2000-05-17,2000-11-28,TECH,1,1,A1
1184515479258,1999-10-09,2001-01-15,COMP,1,1,A1
1184525329119,1999-09-04,,,1,2,A1
1184533959472,1999-11-18,,,0,1,A1
1184554205628,2000-08-31,,,0,3,A1
1184564718036,1999-11-24,2001-01-08,DEBT,0,2,A2
1184567874148,2000-10-01,,,0,1,A1
1184592339710,2000-12-22,,,1,2,A1
1184593116848,2000-07-06,,,1,1,A1
1184600384808,2000-10-21,,,0,1,B1
1184610327403,1999-04-01,,,1,1,A2
1184613963778,2000-12-09,,,1,1,A1
1184618534208,2000-02-12,,,1,1,A1
1184636904965,2000-07-28,,,1,1,B1
1184645511136,2000-12-15,2001-01-06,,1,2,C1
1184646372914,1999-03-23,,,1,3,A1
1184654110847,1999-09-14,1999-11-26,NEED,1,1,A1
1184655877410,2000-04-13,,,1,1,A1
1184658155904,2000-12-20,,,1,1,A1
1184674577580,2000-07-26,,,1,2,A1
1184702194770,1999-11-14,,,1,1,A2
1184720708638,1999-07-13,2000-05-15,NEED,1,1,C1
1184726931072,1999-12-23,,,1,1,A1
1184733747480,2000-02-19,,,0,3,A1
1184779703874,2000-08-31,,,1,1,C1
1184780494236,2000-05-26,,,1,3,B1
1184788883736,1999-10-01,,,1,1,A1
1184792057944,2000-11-22,2000-12-14,COMP,1,1,A1
1184800090845,1999-04-27,,,1,1,A1
1184800644576,2000-03-03,,,1,2,C1
1184823779082,1999-10-09,2000-12-01,COMP,1,1,A1
1184846069306,2000-03-12,2000-04-29,NEED,0,1,A1
1184854881033,1999-11-27,,,1,1,A2
1184869145547,1999-06-04,,,1,1,C1
1184905724868,1999-04-06,,,0,2,C1
1184917044468,2000-12-02,,,1,1,A1
1184918544166,2000-06-22,,,0,1,A1
1184931332790,1999-09-30,,,0,2,A1
1184936679608,2000-11-16,,,1,1,A1
1184948304918,2000-08-01,2000-09-21,COMP,1,3,A1
1184970380256,1999-02-13,,,1,1,A1
1184971835031,2000-10-30,,,0,1,C1
1184985534393,1999-12-17,,,1,1,C1
1184988316502,2000-01-17,,,1,1,A1
1184999673033,2000-11-11,,,1,1,A2
1185017602506,2000-11-03,2001-01-16,DEBT,0,2,A1
1185021335562,1999-11-14,,,1,1,A1
1185029374836,1999-08-30,,,1,2,A1
1185039710503,2000-07-24,,,1,1,B1
1185045351408,1999-05-06,2000-06-27,DEBT,0,1,A1
1185049365048,2000-12-29,,,1,2,A1
1185081365676,2000-08-14,,,1,1,A1
1185093380670,2000-09-06,,,0,1,A1
1185115369980,1999-12-10,,,0,1,B1
1185130059344,1999-12-16,,,1,1,A1
1185132398536,2000-03-09,2000-12-30,DEBT,0,1,C1
1185132590932,1999-12-28,,,1,1,B1
1185152138553,1999-02-18,,,1,2,C1
1185154415844,2000-07-05,2000-08-22,TECH,1,1,B1
1185156687438,1999-11-26,,,1,2,A1
1185178294538,1999-08-02,,,0,1,C1
1185182621288,2000-06-15,,,1,1,A1
1185197352749,2000-03-02,,,1,2,B1
1185221839740,1999-11-14,,,0,1,A1
1185222955542,2000-12-05,,,1,1,B1
1185246568140,1999-07-11,2000-07-20,MOVE,1,1,A2
1185253573744,2000-01-05,,,0,1,A1
1185253709901,2000-11-05,,,1,2,A1
1185259926174,2000-09-21,2000-12-18,DEBT,0,1,C1
1185295936758,2000-10-03,,,0,2,C1
1185298183424,2000-08-24,,,1,1,B1
1185317359208,1999-12-22,,,1,1,A1
1185323668238,1999-07-06,1999-07-30,NEED,1,1,B1
1185332635764,2000-01-03,,,0,1,B1
1185336124548,1999-09-08,2000-08-08,MOVE,0,1,A1
1185340671440,2001-01-17,,,1,2,B1
1185343684048,1999-01-25,1999-05-04,NEED,1,1,A2
1185366414114,1999-11-11,,,1,1,A1
1185376434108,2000-03-06,2000-06-27,DEBT,0,3,B1
1185378056883,2000-12-21,,,1,1,A1
1185378294962,1999-10-04,,,0,1,B1
1185457439420,1999-08-18,,,1,1,A1
